count_point_id,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
1077,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7084,B7077,208250,553700,54.84129302,-4.98768668,5.6,3.48,Estimated,Estimated using previous year's AADF on this link,S,6,14,959,16,199,28,6,13,1,0,5,53,1241
80300,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A755,PA,Major,B727,A711,268200,551550,54.84136504,-4.05391186,1,0.62,Estimated,Estimated using previous year's AADF on this link,N,9,14,1333,21,284,38,12,0,4,3,14,70,1722
80300,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A755,PA,Major,B727,A711,268200,551550,54.84136504,-4.05391186,1,0.62,Estimated,Estimated using previous year's AADF on this link,S,13,10,1356,21,275,24,10,2,2,6,12,56,1718
50998,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A711,PA,Major,A755,A762,269000,551900,54.84471831,-4.04162186,2.6,1.62,Estimated,Estimated using previous year's AADF on this link,N,11,8,1781,23,391,32,15,3,1,3,6,60,2263
50998,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A711,PA,Major,A755,A762,269000,551900,54.84471831,-4.04162186,2.6,1.62,Estimated,Estimated using previous year's AADF on this link,S,19,17,1873,28,387,36,12,3,1,2,6,60,2365
80362,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,South Crescent,B738,200300,554500,54.84536411,-5.11184738,1.1,0.68,Estimated,Estimated using previous year's AADF on this link,N,0,0,506,16,106,11,1,0,0,0,1,14,642
80362,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,South Crescent,B738,200300,554500,54.84536411,-5.11184738,1.1,0.68,Estimated,Estimated using previous year's AADF on this link,S,0,12,456,12,96,5,3,0,0,0,0,8,584
80297,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,C-road Barholm,B796,255000,552950,54.8502864,-4.25999496,8.9,5.53,Estimated,Estimated using previous year's AADF on this link,E,0,12,1731,18,438,91,18,22,2,89,203,426,2626
80297,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,C-road Barholm,B796,255000,552950,54.8502864,-4.25999496,8.9,5.53,Estimated,Estimated using previous year's AADF on this link,W,0,16,1711,19,430,62,17,24,3,78,184,368,2545
20883,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A711,PA,Major,A755,B736,280110,552700,54.85468893,-3.86904251,22.4,13.92,Estimated,Estimated using previous year's AADF on this link,E,5,1,336,9,95,27,0,8,5,2,4,47,487
