count_point_id,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
50973,2000,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A746,PA,Major,C-road south of Glasserton,B7004,243000,539000,54.72141823,-4.43916603,2.5,1.55,Estimated,Estimated using previous year's AADF on this link,C,5,2,322,8,126,3,3,0,0,0,0,6,464
50973,2001,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A746,PA,Major,C-road south of Glasserton,B7004,243000,539000,54.72141823,-4.43916603,2.5,1.55,Estimated,Estimated using previous year's AADF on this link,C,4,2,330,9,126,3,3,0,0,0,0,6,473
50973,2002,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A746,PA,Major,C-road south of Glasserton,B7004,243000,539000,54.72141823,-4.43916603,2.5,1.55,Estimated,Estimated using previous year's AADF on this link,C,4,2,344,9,130,3,3,0,0,0,0,6,491
